split_name,distance,p_value,accuracy,error_rate,ler,mwpm_ler,ler_ratio
a5_d3_50,11,0.002,0.8581,0.14190000000000003,0.14190000000000003,0.0,inf
a5_d3_50,11,0.003,0.7574,0.24260000000000004,0.24260000000000004,0.0001,2426.0000000000005
a5_d3_50,11,0.004,0.6733,0.3267,0.3267,0.0008,408.37499999999994
a5_d3_50,11,0.005,0.604,0.396,0.396,0.0044,90.0
a5_d3_50,11,0.006,0.5602,0.43979999999999997,0.43979999999999997,0.0125,35.184
a5_d3_50,11,0.007,0.5359,0.46409999999999996,0.46409999999999996,0.0267,17.38202247191011
a5_d3_50,11,0.008,0.5214,0.4786,0.4786,0.0517,9.257253384912959
a5_d3_50,13,0.001,0.9164,0.08360000000000001,0.08360000000000001,0.0,inf
a5_d3_50,13,0.002,0.7401,0.2599,0.2599,0.0001,2599.0
a5_d3_50,13,0.003,0.6135,0.38649999999999995,0.38649999999999995,0.0001,3864.9999999999995
a5_d3_50,13,0.004,0.5564,0.4436,0.4436,0.0001,4436.0
a5_d3_50,13,0.005,0.5275,0.47250000000000003,0.47250000000000003,0.0023,205.43478260869566
a5_d3_50,13,0.006,0.503,0.497,0.497,0.0085,58.470588235294116
a5_d3_50,13,0.007,0.5134,0.48660000000000003,0.48660000000000003,0.0273,17.824175824175825
a5_d3_50,13,0.008,0.503,0.497,0.497,0.0579,8.58376511226252
b1_d5heavy,9,0.001,0.9944,0.005600000000000049,0.005600000000000049,0.0,inf
b1_d5heavy,9,0.002,0.9679,0.03210000000000002,0.03210000000000002,0.0,inf
b1_d5heavy,9,0.003,0.9184,0.0816,0.0816,0.0011,74.18181818181819
b1_d5heavy,9,0.004,0.8497,0.1503,0.1503,0.0028,53.67857142857142
b1_d5heavy,9,0.005,0.7728,0.22719999999999996,0.22719999999999996,0.0062,36.64516129032258
b1_d5heavy,9,0.006,0.7021,0.29790000000000005,0.29790000000000005,0.0158,18.854430379746837
b1_d5heavy,9,0.007,0.6364,0.36360000000000003,0.36360000000000003,0.0267,13.617977528089888
b1_d5heavy,9,0.008,0.5965,0.40349999999999997,0.40349999999999997,0.0546,7.39010989010989
b1_d5heavy,11,0.001,0.9791,0.02090000000000003,0.02090000000000003,0.0,inf
b1_d5heavy,11,0.002,0.8803,0.11970000000000003,0.11970000000000003,0.0,inf
b1_d5heavy,11,0.003,0.7542,0.24580000000000002,0.24580000000000002,0.0001,2458.0
b1_d5heavy,11,0.004,0.6457,0.35429999999999995,0.35429999999999995,0.0008,442.8749999999999
b1_d5heavy,11,0.005,0.5835,0.4165,0.4165,0.0044,94.65909090909089
b1_d5heavy,11,0.006,0.5452,0.4548,0.4548,0.0125,36.38399999999999
b1_d5heavy,11,0.007,0.5204,0.4796,0.4796,0.0267,17.9625468164794
b1_d5heavy,11,0.008,0.5152,0.4848,0.4848,0.0517,9.377176015473887
b1_d5heavy,13,0.001,0.9236,0.07640000000000002,0.07640000000000002,0.0,inf
b1_d5heavy,13,0.002,0.6983,0.30169999999999997,0.30169999999999997,0.0001,3016.9999999999995
b1_d5heavy,13,0.003,0.5664,0.4336,0.4336,0.0001,4336.0
b1_d5heavy,13,0.004,0.5202,0.4798,0.4798,0.0001,4798.0
b1_d5heavy,13,0.005,0.5168,0.48319999999999996,0.48319999999999996,0.0023,210.08695652173913
b1_d5heavy,13,0.006,0.4981,0.5019,0.5019,0.0085,59.04705882352941
b1_d5heavy,13,0.007,0.5091,0.4909,0.4909,0.0273,17.98168498168498
b1_d5heavy,13,0.008,0.4945,0.5055000000000001,0.5055000000000001,0.0579,8.73056994818653
b2_d5more,9,0.001,0.9943,0.005700000000000038,0.005700000000000038,0.0,inf
b2_d5more,9,0.002,0.9667,0.033299999999999996,0.033299999999999996,0.0,inf
b2_d5more,9,0.003,0.912,0.08799999999999997,0.08799999999999997,0.0011,79.99999999999997
b2_d5more,9,0.004,0.8398,0.1602,0.1602,0.0028,57.214285714285715
b2_d5more,9,0.005,0.765,0.235,0.235,0.0062,37.90322580645161
b2_d5more,9,0.006,0.6904,0.3096,0.3096,0.0158,19.594936708860757
b2_d5more,9,0.007,0.6311,0.3689,0.3689,0.0267,13.816479400749063
b2_d5more,9,0.008,0.5885,0.4115,0.4115,0.0546,7.536630036630036
b2_d5more,11,0.001,0.9712,0.028800000000000048,0.028800000000000048,0.0,inf
b2_d5more,11,0.002,0.8388,0.1612,0.1612,0.0,inf
b2_d5more,11,0.003,0.7081,0.29190000000000005,0.29190000000000005,0.0001,2919.0000000000005
b2_d5more,11,0.004,0.6232,0.3768,0.3768,0.0008,471.0
b2_d5more,11,0.005,0.5782,0.42179999999999995,0.42179999999999995,0.0044,95.86363636363635
b2_d5more,11,0.006,0.5452,0.4548,0.4548,0.0125,36.38399999999999
b2_d5more,11,0.007,0.5321,0.4679,0.4679,0.0267,17.524344569288388
b2_d5more,11,0.008,0.5128,0.48719999999999997,0.48719999999999997,0.0517,9.423597678916826
b2_d5more,13,0.001,0.8799,0.12009999999999998,0.12009999999999998,0.0,inf
b2_d5more,13,0.002,0.6376,0.36240000000000006,0.36240000000000006,0.0001,3624.0000000000005
b2_d5more,13,0.003,0.564,0.43600000000000005,0.43600000000000005,0.0001,4360.0
b2_d5more,13,0.004,0.5358,0.46419999999999995,0.46419999999999995,0.0001,4641.999999999999
b2_d5more,13,0.005,0.5205,0.47950000000000004,0.47950000000000004,0.0023,208.47826086956525
b2_d5more,13,0.006,0.501,0.499,0.499,0.0085,58.705882352941174
b2_d5more,13,0.007,0.5115,0.48850000000000005,0.48850000000000005,0.0273,17.893772893772894
b2_d5more,13,0.008,0.5047,0.49529999999999996,0.49529999999999996,0.0579,8.55440414507772
b3_balanced,9,0.001,0.9951,0.0049000000000000155,0.0049000000000000155,0.0,inf
b3_balanced,9,0.002,0.9681,0.03190000000000004,0.03190000000000004,0.0,inf
b3_balanced,9,0.003,0.9134,0.08660000000000001,0.08660000000000001,0.0011,78.72727272727273
b3_balanced,9,0.004,0.845,0.15500000000000003,0.15500000000000003,0.0028,55.35714285714287
b3_balanced,9,0.005,0.77,0.22999999999999998,0.22999999999999998,0.0062,37.096774193548384
b3_balanced,9,0.006,0.6949,0.30510000000000004,0.30510000000000004,0.0158,19.310126582278482
b3_balanced,9,0.007,0.6379,0.3621,0.3621,0.0267,13.561797752808987
b3_balanced,9,0.008,0.5986,0.4014,0.4014,0.0546,7.351648351648351
b3_balanced,11,0.001,0.9748,0.0252,0.0252,0.0,inf
b3_balanced,11,0.002,0.8609,0.1391,0.1391,0.0,inf
b3_balanced,11,0.003,0.749,0.251,0.251,0.0001,2510.0
b3_balanced,11,0.004,0.6657,0.33430000000000004,0.33430000000000004,0.0008,417.87500000000006
b3_balanced,11,0.005,0.6083,0.39170000000000005,0.39170000000000005,0.0044,89.02272727272728
b3_balanced,11,0.006,0.5636,0.4364,0.4364,0.0125,34.912
b3_balanced,11,0.007,0.5445,0.4555,0.4555,0.0267,17.05992509363296
b3_balanced,11,0.008,0.5237,0.47629999999999995,0.47629999999999995,0.0517,9.212765957446807
b3_balanced,13,0.001,0.9044,0.09560000000000002,0.09560000000000002,0.0,inf
b3_balanced,13,0.002,0.6959,0.30410000000000004,0.30410000000000004,0.0001,3041.0
b3_balanced,13,0.003,0.5918,0.4082,0.4082,0.0001,4082.0
b3_balanced,13,0.004,0.5548,0.44520000000000004,0.44520000000000004,0.0001,4452.0
b3_balanced,13,0.005,0.5282,0.4718,0.4718,0.0023,205.1304347826087
b3_balanced,13,0.006,0.5045,0.49550000000000005,0.49550000000000005,0.0085,58.294117647058826
b3_balanced,13,0.007,0.5142,0.4858,0.4858,0.0273,17.794871794871796
b3_balanced,13,0.008,0.5065,0.49350000000000005,0.49350000000000005,0.0579,8.523316062176166
b4_d7more,9,0.001,0.9938,0.006199999999999983,0.006199999999999983,0.0,inf
b4_d7more,9,0.002,0.9645,0.035499999999999976,0.035499999999999976,0.0,inf
b4_d7more,9,0.003,0.9045,0.09550000000000003,0.09550000000000003,0.0011,86.81818181818184
b4_d7more,9,0.004,0.8281,0.17190000000000005,0.17190000000000005,0.0028,61.39285714285716
b4_d7more,9,0.005,0.7472,0.2528,0.2528,0.0062,40.7741935483871
b4_d7more,9,0.006,0.6801,0.31989999999999996,0.31989999999999996,0.0158,20.24683544303797
b4_d7more,9,0.007,0.6303,0.36970000000000003,0.36970000000000003,0.0267,13.846441947565543
b4_d7more,9,0.008,0.5854,0.41459999999999997,0.41459999999999997,0.0546,7.593406593406592
b4_d7more,11,0.001,0.9658,0.03420000000000001,0.03420000000000001,0.0,inf
b4_d7more,11,0.002,0.8372,0.16279999999999994,0.16279999999999994,0.0,inf
b4_d7more,11,0.003,0.7297,0.2703,0.2703,0.0001,2702.9999999999995
b4_d7more,11,0.004,0.6441,0.3559,0.3559,0.0008,444.87499999999994
b4_d7more,11,0.005,0.585,0.41500000000000004,0.41500000000000004,0.0044,94.31818181818183
b4_d7more,11,0.006,0.5477,0.45230000000000004,0.45230000000000004,0.0125,36.184
b4_d7more,11,0.007,0.5327,0.46730000000000005,0.46730000000000005,0.0267,17.50187265917603
b4_d7more,11,0.008,0.5174,0.48260000000000003,0.48260000000000003,0.0517,9.334622823984526
b4_d7more,13,0.001,0.8814,0.11860000000000004,0.11860000000000004,0.0,inf
b4_d7more,13,0.002,0.6519,0.34809999999999997,0.34809999999999997,0.0001,3480.9999999999995
b4_d7more,13,0.003,0.5728,0.4272,0.4272,0.0001,4272.0
b4_d7more,13,0.004,0.5387,0.46130000000000004,0.46130000000000004,0.0001,4613.0
b4_d7more,13,0.005,0.5176,0.48240000000000005,0.48240000000000005,0.0023,209.73913043478262
